Area Name,Year,Sex,Total
Cypress County,2001,1,3331
Medicine Hat,2001,1,26061
Forty Mile County No. 8,2001,1,1840
Foremost,2001,1,275
Bow Island,2001,1,818
Redcliff,2001,1,2281
Warner County No. 5,2001,1,2010
Coutts,2001,1,182
Milk River,2001,1,439
Warner,2001,1,192
Raymond,2001,1,1601
Stirling,2001,1,465
Lethbridge County,2001,1,5256
Lethbridge,2001,1,33832
Coalhurst,2001,1,782
Nobleford,2001,1,327
Barons,2001,1,155
Picture Butte,2001,1,874
Coaldale,2001,1,3153
Taber,2001,1,3260
Taber,2001,1,3964
Barnwell,2001,1,295
Vauxhall,2001,1,596
Newell County No. 4,2001,1,3858
Tilley,2001,1,218
Brooks,2001,1,6392
Duchess,2001,1,462
Rosemary,2001,1,188
Bassano,2001,1,708
Cardston County,2001,1,2258
Magrath,2001,1,989
Improvement District No. 4 Waterton,2001,1,81
Cardston,2001,1,1661
Glenwood,2001,1,135
Hill Spring,2001,1,99
Pincher Creek No. 9,2001,1,1701
Pincher Creek,2001,1,1822
Cowley,2001,1,128
Willow Creek No. 26,2001,1,2892
Fort Macleod,2001,1,1458
Granum,2001,1,202
Claresholm,2001,1,1800
Stavely,2001,1,226
Nanton,2001,1,901
Piikani 147,2001,1,770
Blood 148,2001,1,2009
Blood 148A,2001,1,2
Acadia No. 34,2001,1,275
Special Area No. 2,2001,1,1259
Empress,2001,1,86
Hanna,2001,1,1527
Special Area No. 3,2001,1,813
Oyen,2001,1,522
Cereal,2001,1,91
Youngstown,2001,1,98
Special Area No. 4,2001,1,818
Veteran,2001,1,150
Consort,2001,1,326
Vulcan County,2001,1,1998
Carmangay,2001,1,133
Champion,2001,1,184
Vulcan,2001,1,866
Lomond,2001,1,95
Milo,2001,1,59
Arrowwood,2001,1,96
Wheatland County,2001,1,4233
Strathmore,2001,1,3958
Hussar,2001,1,95
Standard,2001,1,211
Rockyford,2001,1,187
Drumheller,2001,1,4176
Starland County,2001,1,1196
Delia,2001,1,112
Munson,2001,1,122
Morrin,2001,1,130
Kneehill County,2001,1,2781
Carbon,2001,1,279
Acme,2001,1,363
Linden,2001,1,320
Three Hills,2001,1,1412
Trochu,2001,1,529
Siksika 146,2001,1,1457
Foothills No. 31,2001,1,8729
High River,2001,1,4752
Longview,2001,1,160
Turner Valley,2001,1,821
Black Diamond,2001,1,940
Okotoks,2001,1,6055
Rocky View County,2001,1,15374
Calgary,2001,1,455844
Chestermere,2001,1,2251
Cochrane,2001,1,6172
Airdrie,2001,1,10673
Irricana,2001,1,536
Beiseker,2001,1,450
Crossfield,2001,1,1232
Mountain View County,2001,1,6384
Carstairs,2001,1,1183
Cremona,2001,1,204
Didsbury,2001,1,1965
Olds,2001,1,3274
Sundre,2001,1,1139
Eden Valley 216,2001,1,271
Tsuu T'ina Nation 145 (Sarcee 145),2001,1,1041
Provost No. 52,2001,1,1436
Provost,2001,1,996
Czar,2001,1,109
Hughenden,2001,1,118
Amisk,2001,1,86
Paintearth County No. 18,2001,1,1144
Coronation,2001,1,452
Castor,2001,1,458
Halkirk,2001,1,62
Stettler County No. 6,2001,1,2867
Big Valley,2001,1,174
Gadsby,2001,1,18
Botha,2001,1,101
Stettler,2001,1,2602
White Sands,2001,1,43
Rochon Sands,2001,1,35
Donalda,2001,1,111
Flagstaff County,2001,1,1975
Alliance,2001,1,89
Galahad,2001,1,82
Forestburg,2001,1,459
Heisler,2001,1,99
Daysland,2001,1,390
Strome,2001,1,149
Killam,2001,1,492
Sedgewick,2001,1,425
Lougheed,2001,1,122
Hardisty,2001,1,364
Wainwright No. 61,2001,1,2458
Chauvin,2001,1,196
Edgerton,2001,1,221
Wainwright,2001,1,2567
Irma,2001,1,225
Red Deer County,2001,1,9849
Elnora,2001,1,146
Delburne,2001,1,347
Jarvis Bay,2001,1,65
Bowden,2001,1,612
Innisfail,2001,1,3484
Penhold,2001,1,907
Red Deer,2001,1,35149
Sylvan Lake,2001,1,4018
Norglenwold,2001,1,134
Lacombe County,2001,1,5589
Birchcliff,2001,1,59
Eckville,2001,1,529
Half Moon Bay,2001,1,17
Bentley,2001,1,507
Sunbreaker Cove,2001,1,46
Gull Lake,2001,1,80
Blackfalds,2001,1,1675
Lacombe,2001,1,4719
Clive,2001,1,294
Alix,2001,1,449
Ponoka County,2001,1,4709
Ponoka,2001,1,3075
Parkland Beach,2001,1,49
Rimbey,2001,1,1010
Samson 137,2001,1,1551
Samson 137A,2001,1,11
Montana 139,2001,1,290
Clearwater County,2001,1,6165
Burnstick Lake,2001,1,4
Caroline,2001,1,297
Rocky Mountain House,2001,1,3208
O'Chiese 203,2001,1,263
Sunchild 202,2001,1,307
Big Horn 144A,2001,1,99
Camrose County,2001,1,3912
Bashaw,2001,1,407
Rosalind,2001,1,99
Ferintosh,2001,1,77
Edberg,2001,1,79
New Norway,2001,1,154
Bawlf,2001,1,178
Camrose,2001,1,7339
Bittern Lake,2001,1,122
Hay Lakes,2001,1,187
Beaver County,2001,1,3025
Tofield,2001,1,864
Ryley,2001,1,232
Holden,2001,1,182
Viking,2001,1,481
Minburn County No. 27,2001,1,1880
Vegreville,2001,1,2556
Innisfree,2001,1,109
Minburn,2001,1,50
Mannville,2001,1,363
Vermilion River County,2001,1,3997
Paradise Valley,2001,1,80
Lloydminster (Part),2001,1,6836
Kitscoty,2001,1,348
Vermilion,2001,1,1973
Marwayne,2001,1,258
Dewberry,2001,1,108
Two Hills County No. 21,2001,1,1508
Myrnam,2001,1,164
Two Hills,2001,1,520
Willingdon,2001,1,158
Lamont County,2001,1,2217
Andrew,2001,1,258
Mundare,2001,1,314
Chipman,2001,1,144
Lamont,2001,1,824
Bruderheim,2001,1,644
Improvement District No. 13 Elk Island,2001,1,13
Makaoo (Part) 120,2001,1,93
Wetaskiwin County No. 10,2001,1,5719
Wetaskiwin,2001,1,5477
Argentia Beach,2001,1,14
Grandview,2001,1,46
Poplar Bay,2001,1,42
Crystal Springs,2001,1,38
Norris Beach,2001,1,14
Ma-Me-O Beach,2001,1,37
Silver Beach,2001,1,18
Millet,2001,1,1057
Leduc County,2001,1,6884
Beaumont,2001,1,3657
Leduc,2001,1,7709
Devon,2001,1,2580
Calmar,2001,1,990
Sundance Beach,2001,1,19
Thorsby,2001,1,431
Itaska Beach,2001,1,5
Golden Days,2001,1,71
Warburg,2001,1,283
Breton,2001,1,289
Drayton Valley,2001,1,3170
Brazeau County,2001,1,3531
Parkland County,2001,1,14532
Seba Beach,2001,1,57
Betula Beach,2001,1,5
Point Alison,2001,1,6
Lakeview,2001,1,9
Kapasiwin,2001,1,8
Wabamun,2001,1,325
Spring Lake,2001,1,230
Stony Plain,2001,1,4847
Spruce Grove,2001,1,8304
Strathcona County,2001,1,37243
Fort Saskatchewan,2001,1,6769
Sturgeon County,2001,1,10027
Edmonton,2001,1,340595
St. Albert,2001,1,26967
Gibbons,2001,1,1372
Redwater,2001,1,1154
Bon Accord,2001,1,817
Morinville,2001,1,3391
Legal,2001,1,555
Ermineskin 138,2001,1,882
Pigeon Lake 138A,2001,1,187
Louis Bull 138B,2001,1,454
Stony Plain 135,2001,1,583
Alexander 134,2001,1,430
Wabamun 133A,2001,1,513
Wabamun 133B,2001,1,0
Cold Lake,2001,1,6153
Bonnyville No. 87,2001,1,5173
Bonnyville,2001,1,2993
Bonnyville Beach,2001,1,39
Glendon,2001,1,232
Pelican Narrows,2001,1,57
St. Paul County No. 19,2001,1,3295
Elk Point,2001,1,746
St. Paul,2001,1,2487
